moneda,fecha,PC,score,score_z
usdzar,2025-12-16,PC1,-3.80655547084279,-0.4358210933966617
usdzar,2025-12-17,PC1,-7.396031616215113,-0.8467882868028936
usdzar,2025-12-18,PC1,-12.786735416254432,-1.4639820837424948
usdzar,2025-12-19,PC1,-15.210849042366263,-1.7415243024602203
usdzar,2025-12-22,PC1,-19.228607973063987,-2.2015265547834204
usdzar,2025-12-23,PC1,-20.259064337729157,-2.3195058205489847
usdzar,2025-12-24,PC1,-16.82454077765669,-1.9262794969835568
usdzar,2025-12-25,PC1,-15.198447160328229,-1.7401043831049414
usdzar,2025-12-26,PC1,-13.960179615905204,-1.5983323481873581
usdzar,2025-12-29,PC1,-11.625425307260993,-1.3310210786157106
usdzar,2025-12-30,PC1,-9.793659087590598,-1.1212980461211735
usdzar,2025-12-31,PC1,-7.6691941556371646,-0.878063280039645
usdzar,2026-01-01,PC1,-5.25482390507788,-0.6016366022930709
usdzar,2026-01-02,PC1,-0.9550444444051486,-0.10934518548101045
usdzar,2026-01-05,PC1,-1.869885133267451,-0.2140873526076195
usdzar,2026-01-06,PC1,2.9673168433956922,0.33973477624292026
usdzar,2026-01-07,PC1,5.719720765382128,0.6548636889666852
usdzar,2026-01-08,PC1,5.223653482247043,0.5980678305087558
usdzar,2026-01-09,PC1,-1.3080939066409476,-0.14976661210497147
usdzar,2026-01-12,PC1,-3.9891827082990483,-0.45673049637840146
usdzar,2026-01-13,PC1,-5.8218825179855775,-0.666560417692695
usdzar,2026-01-14,PC1,-4.404536783036686,-0.5042853181550659
usdzar,2026-01-15,PC1,-4.068784516364904,-0.46584428633715685
usdzar,2026-01-16,PC1,-3.3379106985951528,-0.3821648998589451
usdzar,2026-01-19,PC1,-4.720739771575089,-0.5404881091706366
usdzar,2026-01-20,PC1,-2.491088399418004,-0.28521031107993344
usdzar,2026-01-21,PC1,-3.5016487358884483,-0.40091163584910466
usdzar,2026-01-22,PC1,1.4100952738302939,0.16144497794435608
usdzar,2026-01-23,PC1,2.205783441683847,0.2525451050731861
usdzar,2026-01-26,PC1,2.7612749743183964,0.31614457944831603
usdzar,2026-01-27,PC1,3.5142790033890727,0.4023577035694296
usdzar,2026-01-28,PC1,3.475089001542032,0.397870752154687
usdzar,2026-01-29,PC1,8.02545434973917,0.9188523105730328
usdzar,2026-01-30,PC1,14.300949677775682,1.6373478786581004
usdzar,2026-02-02,PC1,10.251274133813407,1.1736914215303147
usdzar,2026-02-03,PC1,3.4873117311218413,0.39927015994227
usdzar,2026-02-04,PC1,6.583766326905757,0.7537902077714633
usdzar,2026-02-05,PC1,11.105368752254712,1.2714786344908235
usdzar,2026-02-06,PC1,8.397721780526103,0.9614740456204419
usdzar,2026-02-09,PC1,4.1719551328655,0.4776565221587827
usdzar,2026-02-10,PC1,1.6815561488503206,0.1925251437981978
usdzar,2026-02-11,PC1,0.4721500497816649,0.05405752064282228
usdzar,2026-02-12,PC1,-0.8704483155752534,-0.09965958451021813
usdzar,2026-02-13,PC1,-0.4219534736020201,-0.04831040178879549
usdzar,2026-02-16,PC1,-4.872434192260955,-0.5578559444200858
usdzar,2026-02-17,PC1,-2.9468821058249146,-0.3373951571989881
usdzar,2026-02-18,PC1,-1.283065061392453,-0.14690100334497627
usdzar,2026-02-19,PC1,1.3603100604033502,0.1557449569366725
usdzar,2026-02-20,PC1,0.3234385823539887,0.03703121041789806
usdzar,2026-02-23,PC1,-2.189924573870087,-0.2507293876447748
usdzar,2026-02-24,PC1,-1.0655305443960996,-0.12199498745342935
usdzar,2026-02-25,PC1,-1.7318529455182528,-0.19828373712123604
